letter,schedule_status,encrypts_to_ct,near_pass,flint_pass,generic_pass,cadence_pass,holm_adj_p_cov,holm_adj_p_fw,publishable
A,found,True,False,False,False,False,,,False
B,found,True,False,False,False,False,,,False
C,found,True,False,False,False,False,,,False
D,found,True,False,False,False,False,,,False
E,found,True,False,False,False,False,,,False
F,found,True,False,False,False,False,,,False
G,found,True,False,False,False,False,,,False
H,found,True,False,False,False,False,,,False
I,found,True,False,False,False,False,,,False
J,found,True,False,False,False,False,,,False
K,found,True,False,False,False,False,,,False
L,found,True,False,False,False,False,,,False
M,found,True,False,False,False,False,,,False
N,found,True,False,False,False,False,,,False
O,found,True,False,False,False,False,,,False
P,found,True,False,False,False,False,,,False
Q,found,True,False,False,False,False,,,False
R,found,True,False,False,False,False,,,False
S,found,True,False,False,False,False,,,False
T,found,True,False,False,False,False,,,False
U,found,True,False,False,False,False,,,False
V,found,True,False,False,False,False,,,False
W,found,True,False,False,False,False,,,False
X,found,True,False,False,False,False,,,False
Y,found,True,False,False,False,False,,,False
Z,found,True,False,False,False,False,,,False
