mechanism,timestamp,method,unknowns_before,unknowns_after,reduction,new_positions
BerlinClock@1990-11-03T14:00:00+00:00/on_off_count_per_row,1990-11-03T14:00:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@1990-11-03T14:00:00+00:00/base5_vector,1990-11-03T14:00:00+00:00,base5_vector,73,73,0,0
BerlinClock@1990-11-03T14:00:00+00:00/pattern_signature,1990-11-03T14:00:00+00:00,pattern_signature,73,73,0,0
BerlinClock@1990-11-03T14:00:00+00:00/row3_triplet_marks,1990-11-03T14:00:00+00:00,row3_triplet_marks,73,73,0,0
BerlinClock@1989-11-09T18:53:00+00:00/on_off_count_per_row,1989-11-09T18:53:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@1989-11-09T18:53:00+00:00/base5_vector,1989-11-09T18:53:00+00:00,base5_vector,73,73,0,0
BerlinClock@1989-11-09T18:53:00+00:00/pattern_signature,1989-11-09T18:53:00+00:00,pattern_signature,73,73,0,0
BerlinClock@1989-11-09T18:53:00+00:00/row3_triplet_marks,1989-11-09T18:53:00+00:00,row3_triplet_marks,73,73,0,0
BerlinClock@2024-01-01T12:00:00+00:00/on_off_count_per_row,2024-01-01T12:00:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@2024-01-01T12:00:00+00:00/base5_vector,2024-01-01T12:00:00+00:00,base5_vector,73,73,0,0
BerlinClock@2024-01-01T12:00:00+00:00/pattern_signature,2024-01-01T12:00:00+00:00,pattern_signature,73,73,0,0
BerlinClock@2024-01-01T12:00:00+00:00/row3_triplet_marks,2024-01-01T12:00:00+00:00,row3_triplet_marks,73,73,0,0
BerlinClock@2024-01-01T15:00:00+00:00/on_off_count_per_row,2024-01-01T15:00:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@2024-01-01T15:00:00+00:00/base5_vector,2024-01-01T15:00:00+00:00,base5_vector,73,73,0,0
BerlinClock@2024-01-01T15:00:00+00:00/pattern_signature,2024-01-01T15:00:00+00:00,pattern_signature,73,73,0,0
BerlinClock@2024-01-01T15:00:00+00:00/row3_triplet_marks,2024-01-01T15:00:00+00:00,row3_triplet_marks,73,73,0,0
BerlinClock@2024-01-01T18:00:00+00:00/on_off_count_per_row,2024-01-01T18:00:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@2024-01-01T18:00:00+00:00/base5_vector,2024-01-01T18:00:00+00:00,base5_vector,73,73,0,0
BerlinClock@2024-01-01T18:00:00+00:00/pattern_signature,2024-01-01T18:00:00+00:00,pattern_signature,73,73,0,0
BerlinClock@2024-01-01T18:00:00+00:00/row3_triplet_marks,2024-01-01T18:00:00+00:00,row3_triplet_marks,73,73,0,0
BerlinClock@2024-01-01T21:00:00+00:00/on_off_count_per_row,2024-01-01T21:00:00+00:00,on_off_count_per_row,73,73,0,0
BerlinClock@2024-01-01T21:00:00+00:00/base5_vector,2024-01-01T21:00:00+00:00,base5_vector,73,73,0,0
BerlinClock@2024-01-01T21:00:00+00:00/pattern_signature,2024-01-01T21:00:00+00:00,pattern_signature,73,73,0,0
BerlinClock@2024-01-01T21:00:00+00:00/row3_triplet_marks,2024-01-01T21:00:00+00:00,row3_triplet_marks,73,73,0,0
