index,class,slot,family,mod6,mod17
0,0,0,beaufort,0,0
1,4,1,beaufort,1,1
2,2,2,beaufort,2,2
3,3,3,vigenere,3,3
4,1,4,vigenere,4,4
5,5,5,vigenere,5,5
6,0,6,beaufort,0,6
7,4,7,beaufort,1,7
8,2,8,beaufort,2,8
9,3,9,vigenere,3,9
10,1,10,vigenere,4,10
11,5,11,vigenere,5,11
12,0,12,beaufort,0,12
13,4,13,beaufort,1,13
14,2,14,beaufort,2,14
15,3,15,vigenere,3,15
16,1,16,vigenere,4,16
17,5,0,vigenere,5,0
18,0,1,beaufort,0,1
19,4,2,beaufort,1,2
20,2,3,beaufort,2,3
34,1,0,vigenere,4,0
35,5,1,vigenere,5,1
36,0,2,beaufort,0,2
37,4,3,beaufort,1,3
38,2,4,beaufort,2,4
39,3,5,vigenere,3,5
40,1,6,vigenere,4,6
41,5,7,vigenere,5,7
42,0,8,beaufort,0,8
43,4,9,beaufort,1,9
44,2,10,beaufort,2,10
45,3,11,vigenere,3,11
46,1,12,vigenere,4,12
47,5,13,vigenere,5,13
48,0,14,beaufort,0,14
49,4,15,beaufort,1,15
50,2,16,beaufort,2,16
51,3,0,vigenere,3,0
52,1,1,vigenere,4,1
53,5,2,vigenere,5,2
54,0,3,beaufort,0,3
55,4,4,beaufort,1,4
56,2,5,beaufort,2,5
57,3,6,vigenere,3,6
58,1,7,vigenere,4,7
59,5,8,vigenere,5,8
60,0,9,beaufort,0,9
61,4,10,beaufort,1,10
62,2,11,beaufort,2,11
