index,u,v,intensity
0,0.001816,0.961671,1.0000
1,0.005111,0.838545,0.6157
2,0.007167,0.912479,0.9255
3,0.009615,0.981728,1.0000
4,0.015261,0.995567,0.9725
5,0.030163,0.995340,0.9725
6,0.032471,0.236816,0.9059
7,0.037842,0.071426,0.9373
8,0.046562,0.967529,0.9412
9,0.054199,0.236816,0.7686
10,0.059570,0.110352,0.6941
11,0.064941,0.071426,0.6980
12,0.070807,0.440918,0.8196
13,0.073378,0.989014,0.8314
14,0.089355,0.944824,0.6941
15,0.092163,0.978027,0.9373
16,0.099359,0.672991,0.8314
17,0.105957,0.966797,0.5451
18,0.108398,0.093750,0.5569
19,0.115051,0.812852,0.9373
20,0.117952,0.763796,0.9686
21,0.122192,0.743734,0.9686
22,0.124512,0.049854,0.9373
23,0.139160,0.994629,0.7020
24,0.141968,0.892334,0.9333
25,0.153954,0.477477,0.8000
26,0.169189,0.385742,0.5765
27,0.173828,0.253418,0.9569
28,0.179462,0.872934,0.6824
29,0.183680,0.917480,0.9255
30,0.187744,0.673340,0.7294
31,0.190004,0.843064,0.8980
32,0.192139,0.557129,0.5765
33,0.194469,0.828458,0.8980
34,0.199670,0.835810,0.8980
35,0.206299,0.214844,0.7294
36,0.209949,0.656424,0.9294
37,0.223450,0.466943,0.6627
38,0.227513,0.540527,0.6118
39,0.241455,0.540527,0.7137
40,0.249093,0.793886,0.9255
41,0.252441,0.540527,0.9216
42,0.265869,0.132324,0.9725
43,0.275635,0.656689,0.6902
44,0.279053,0.462305,0.6824
45,0.282227,0.192822,0.8745
46,0.284424,0.523926,0.9255
47,0.289795,0.440918,0.8000
48,0.293709,0.214237,0.7647
49,0.308506,0.479492,0.7333
50,0.314941,0.214844,0.6627
51,0.319824,0.656689,0.9255
52,0.325391,0.717480,0.6196
53,0.327393,0.994629,0.9647
54,0.331055,0.154297,0.5608
55,0.336670,0.214844,0.6627
56,0.342102,0.656657,0.8314
57,0.354980,0.912109,0.9020
58,0.358354,0.939209,0.7490
59,0.365674,0.890137,0.5569
60,0.368402,0.595703,0.8863
61,0.371238,0.507324,0.6863
62,0.378632,0.507324,0.6863
63,0.391050,0.192808,0.6627
64,0.393311,0.424316,0.7922
65,0.399258,0.595703,0.7490
66,0.401564,0.214355,0.6627
67,0.410156,0.440918,0.9020
68,0.421021,0.523926,0.6549
69,0.431396,0.385742,0.5765
70,0.447998,0.424316,0.5961
71,0.465088,0.785645,0.7137
72,0.471924,0.110352,0.6980
73,0.478027,0.236816,0.6902
74,0.481934,0.479492,0.8314
75,0.485679,0.970017,0.6980
76,0.498047,0.994629,0.5451
77,0.509033,0.968926,0.6196
78,0.511694,0.313965,0.7843
79,0.535400,0.402344,0.6824
80,0.544434,0.330566,0.5529
81,0.546457,0.822743,0.5922
82,0.562500,0.385742,0.6510
83,0.570557,0.253418,0.8235
84,0.585375,0.671580,0.8196
85,0.591309,0.110352,0.7333
86,0.593661,0.671488,0.8196
87,0.596076,0.641906,0.8196
88,0.624023,0.868164,0.8863
89,0.634229,0.093750,0.8980
90,0.661621,0.093750,0.6235
91,0.689941,0.236816,0.8275
92,0.700195,0.154297,0.5647
93,0.755127,0.890137,0.7843
94,0.771484,0.989258,0.8588
95,0.780792,0.110352,0.7647
96,0.899414,0.027832,0.5490
