Solution,Index,Class,Slot,In_Tail
1,0,0,0,No
1,1,4,1,No
1,2,2,2,No
1,3,3,3,No
1,4,1,4,No
1,5,5,5,No
1,6,0,6,No
1,7,4,7,No
1,8,2,8,No
1,9,3,9,No
1,10,1,10,No
1,11,5,11,No
1,12,0,12,No
1,13,4,13,No
1,14,2,14,No
1,15,3,15,No
1,16,1,16,No
1,17,5,0,No
1,18,0,1,No
1,19,4,2,No
1,20,2,3,No
1,34,1,0,No
1,35,5,1,No
1,36,0,2,No
1,37,4,3,No
1,38,2,4,No
1,39,3,5,No
1,40,1,6,No
1,41,5,7,No
1,42,0,8,No
1,43,4,9,No
1,44,2,10,No
1,45,3,11,No
1,46,1,12,No
1,47,5,13,No
1,48,0,14,No
1,49,4,15,No
1,50,2,16,No
1,51,3,0,No
1,52,1,1,No
1,53,5,2,No
1,54,0,3,No
1,55,4,4,No
1,56,2,5,No
1,57,3,6,No
1,58,1,7,No
1,59,5,8,No
1,60,0,9,No
1,61,4,10,No
1,62,2,11,No
1,74,2,6,Yes
1,75,3,7,Yes
1,76,1,8,Yes
1,77,5,9,Yes
1,78,0,10,Yes
1,79,4,11,Yes
1,80,2,12,Yes
1,81,3,13,Yes
1,82,1,14,Yes
1,83,5,15,Yes
1,84,0,16,Yes
1,85,4,0,Yes
1,86,2,1,Yes
1,87,3,2,Yes
1,88,1,3,Yes
1,89,5,4,Yes
1,90,0,5,Yes
1,91,4,6,Yes
1,92,2,7,Yes
1,93,3,8,Yes
1,94,1,9,Yes
1,95,5,10,Yes
1,96,0,11,Yes
