Class,Slot,Indices,Count
0,0,0,1
0,1,18,1
0,2,36,1
0,3,54,1
0,4,72,1
0,5,90,1
0,6,6,1
0,7,24,1
0,8,42,1
0,9,60,1
0,10,78,1
0,11,96,1
0,12,12,1
0,13,30,1
0,14,48,1
0,15,66,1
0,16,84,1
1,0,34,1
1,1,52,1
1,2,70,1
1,3,88,1
1,4,4,1
1,5,22,1
1,6,40,1
1,7,58,1
1,8,76,1
1,9,94,1
1,10,10,1
1,11,28,1
1,12,46,1
1,13,64,1
1,14,82,1
1,16,16,1
2,0,68,1
2,1,86,1
2,2,2,1
2,3,20,1
2,4,38,1
2,5,56,1
2,6,74,1
2,7,92,1
2,8,8,1
2,9,26,1
2,10,44,1
2,11,62,1
2,12,80,1
2,14,14,1
2,15,32,1
2,16,50,1
3,0,51,1
3,1,69,1
3,2,87,1
3,3,3,1
3,4,21,1
3,5,39,1
3,6,57,1
3,7,75,1
3,8,93,1
3,9,9,1
3,10,27,1
3,11,45,1
3,12,63,1
3,13,81,1
3,15,15,1
3,16,33,1
4,0,85,1
4,1,1,1
4,2,19,1
4,3,37,1
4,4,55,1
4,5,73,1
4,6,91,1
4,7,7,1
4,8,25,1
4,9,43,1
4,10,61,1
4,11,79,1
4,13,13,1
4,14,31,1
4,15,49,1
4,16,67,1
5,0,17,1
5,1,35,1
5,2,53,1
5,3,71,1
5,4,89,1
5,5,5,1
5,6,23,1
5,7,41,1
5,8,59,1
5,9,77,1
5,10,95,1
5,11,11,1
5,12,29,1
5,13,47,1
5,14,65,1
5,15,83,1
